City,Population,Common_Health_Diseases,Recommended_Health_Checkups
Mumbai,23355000,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Dermatitis, Eczema), Mental health issues (e.g., Stress, Anxiety)","Blood pressure check, Cholesterol test, Pulmonary function test, Skin examination, Mental health assessment"
Delhi,29617000,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Eye problems (e.g., Dry Eye Syndrome, Allergic Conjunctivitis)","Blood sugar test, Lung function test, Blood pressure check, Eye examination"
Bengaluru,14008000,"Asthma (e.g., Bronchial Asthma), Hypertension (e.g., Essential Hypertension), Skin diseases (e.g., Psoriasis, Dermatitis), Eye problems (e.g., Glaucoma, Cataracts)","Pulmonary function test, ECG, Skin examination, Eye examination"
Hyderabad,9746000,"Cardiovascular diseases (e.g., Hypertension, Atherosclerosis), Obesity (e.g., Central Obesity), Respiratory diseases (e.g., Asthma, COPD), Skin diseases (e.g., Acne, Eczema)","Blood pressure check, BMI calculation, Pulmonary function test, Skin examination"
Chennai,11324000,"Diabetes (e.g., Type 2 Diabetes), Heart diseases (e.g., Coronary Artery Disease), Respiratory diseases (e.g., Asthma, COPD), Eye problems (e.g., Diabetic Retinopathy, Cataracts)","Blood sugar test, ECG, Lung function test, Eye examination"
Kolkata,17560000,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Pune,7764000,"Asthma (e.g., Bronchial Asthma), Cardiovascular diseases (e.g., Hypertension, Atherosclerosis), Respiratory diseases (e.g., COPD), Mental health issues (e.g., Depression, Anxiety)","Pulmonary function test, Blood pressure check, Mental health assessment"
Ahmedabad,8854444,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis)","Blood sugar test, Lung function test, Blood pressure check, Skin examination"
Jaipur,3073350,"Hypertension (e.g., Essential Hypertension), Cardiovascular diseases (e.g., Coronary Artery Disease, Atherosclerosis), Respiratory diseases (e.g., Asthma, COPD), Eye problems (e.g., Cataracts, Glaucoma)","Blood pressure check, ECG, Lung function test, Eye examination"
Lucknow,3382000,"Respiratory diseases (e.g., Asthma, COPD), Hypertension (e.g., Essential Hypertension), Cardiovascular diseases (e.g., Coronary Artery Disease, Atherosclerosis), Skin diseases (e.g., Psoriasis, Dermatitis)","Lung function test, Blood pressure check, ECG, Skin examination"
Kanpur,3286000,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Diabetes (e.g., Type 2 Diabetes), Eye problems (e.g., Dry Eye Syndrome, Glaucoma)","Blood pressure check, Lung function test, Blood sugar test, Eye examination"
Nagpur,2405665,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis)","Blood sugar test, Pulmonary function test, Blood pressure check, Skin examination"
Indore,2201927,"Hypertension (e.g., Essential Hypertension), Cardiovascular diseases (e.g., Coronary Artery Disease, Atherosclerosis), Respiratory diseases (e.g., Asthma, COPD), Eye problems (e.g., Cataracts, Glaucoma)","Blood pressure check, ECG, Lung function test, Eye examination"
Thane,1261517,"Asthma (e.g., Bronchial Asthma), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Respiratory diseases (e.g., COPD), Mental health issues (e.g., Depression, Anxiety)","Pulmonary function test, Blood pressure check, Skin examination, Mental health assessment"
Bhopal,1883381,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Visakhapatnam,2385000,"Asthma (e.g., Bronchial Asthma), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Respiratory diseases (e.g., COPD), Eye problems (e.g., Cataracts, Glaucoma)","Pulmonary function test, ECG, Lung function test, Eye examination"
Patna,2035922,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Ghaziabad,2381452,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Mental health issues (e.g., Depression, Anxiety)","Blood sugar test, Pulmonary function test, Blood pressure check, Mental health assessment"
Ludhiana,1649000,"Hypertension (e.g., Essential Hypertension), Cardiovascular diseases (e.g., Coronary Artery Disease, Atherosclerosis), Respiratory diseases (e.g., Asthma, COPD), Skin diseases (e.g., Psoriasis, Dermatitis)","Blood pressure check, ECG, Lung function test, Skin examination"
Agra,1585705,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Eye problems (e.g., Dry Eye Syndrome, Allergic Conjunctivitis)","Chest X-ray, Sputum test, Blood pressure check, Eye examination"
Nashik,39854,"Asthma (e.g., Bronchial Asthma), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Respiratory diseases (e.g., COPD), Skin diseases (e.g., Eczema, Dermatitis)","Pulmonary function test, Blood pressure check, Skin examination"
Faridabad,1394000,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Mental health issues (e.g., Stress, Anxiety)","Blood sugar test, Lung function test, Blood pressure check, Mental health assessment"
Meerut,1305429,"Hypertension (e.g., Essential Hypertension), Cardiovascular diseases (e.g., Coronary Artery Disease, Atherosclerosis), Respiratory diseases (e.g., Asthma, COPD), Eye problems (e.g., Cataracts, Glaucoma)","Blood pressure check, ECG, Lung function test, Eye examination"
Varanasi,1198491,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Diabetes (e.g., Type 2 Diabetes), Skin diseases (e.g., Eczema, Dermatitis)","Blood pressure check, Lung function test, Blood sugar test, Skin examination"
Aurangabad,1371330,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Eye problems (e.g., Dry Eye Syndrome, Allergic Conjunctivitis)","Blood sugar test, Pulmonary function test, Blood pressure check, Eye examination"
Amritsar,1132383,"Hypertension (e.g., Essential Hypertension), Cardiovascular diseases (e.g., Coronary Artery Disease, Atherosclerosis), Respiratory diseases (e.g., Asthma, COPD), Skin diseases (e.g., Psoriasis, Dermatitis)","Blood pressure check, ECG, Lung function test, Skin examination"
Navi Mumbai,1589000,"Asthma (e.g., Bronchial Asthma), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Respiratory diseases (e.g., COPD), Mental health issues (e.g., Stress, Anxiety)","Pulmonary function test, Blood pressure check, Skin examination, Mental health assessment"
Allahabad,1201000,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Eye problems (e.g., Glaucoma, Cataracts)","Blood sugar test, Lung function test, Blood pressure check, Eye examination"
Howrah,5540000,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Tuberculosis, Skin diseases (e.g., Psoriasis, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Coimbatore,959823,"Hypertension (e.g., Essential Hypertension), Cardiovascular diseases (e.g., Coronary Artery Disease, Atherosclerosis), Respiratory diseases (e.g., Asthma, COPD), Eye problems (e.g., Cataracts, Glaucoma)","Blood pressure check, ECG, Lung function test, Eye examination"
Jabalpur,1267564,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Gwalior,1101981,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Eye problems (e.g., Cataracts, Glaucoma)","Blood sugar test, Pulmonary function test, Blood pressure check, Eye examination"
Vijayawada,2291000,"Asthma (e.g., Bronchial Asthma), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Respiratory diseases (e.g., COPD), Mental health issues (e.g., Stress, Anxiety)","Pulmonary function test, Blood pressure check, Skin examination, Mental health assessment"
Jodhpur,995000,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Udaipur,451100,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis), Eye problems (e.g., Glaucoma, Cataracts)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Bikaner,529007,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Skin diseases (e.g., Psoriasis, Dermatitis), Mental health issues (e.g., Stress, Anxiety)","Chest X-ray, Sputum test, Skin examination, Mental health assessment"
Ajmer,542321,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis), Eye problems (e.g., Glaucoma, Cataracts)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Bharatpur,252342,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Gurugram,2820000,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Eye problems (e.g., Cataracts, Glaucoma)","Blood sugar test, Pulmonary function test, Blood pressure check, Eye examination"
Kota,1001694,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis), Eye problems (e.g., Glaucoma, Cataracts)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Noida,903000,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Mental health issues (e.g., Stress, Anxiety)","Blood sugar test, Pulmonary function test, Blood pressure check, Mental health assessment"
Gaya,675950,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Cuddalore,173676,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Eye problems (e.g., Cataracts, Glaucoma)","Blood sugar test, Pulmonary function test, Blood pressure check, Eye examination"
Raipur,1010087,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Borivli,8100,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis), Eye problems (e.g., Glaucoma, Cataracts)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Rajamahendravaram,340000,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Mental health issues (e.g., Stress, Anxiety)","Blood sugar test, Pulmonary function test, Blood pressure check, Mental health assessment"
Chittoor,160722,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Tirupati,287482,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis), Eye problems (e.g., Glaucoma, Cataracts)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Guwahati,957352,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Mental health issues (e.g., Stress, Anxiety)","Blood sugar test, Pulmonary function test, Blood pressure check, Mental health assessment"
Silchar,152393,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Bhagalpur,410210,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis), Eye problems (e.g., Glaucoma, Cataracts)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Muzaffarpur,333200,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Mental health issues (e.g., Stress, Anxiety)","Blood sugar test, Pulmonary function test, Blood pressure check, Mental health assessment"
Hajipur,207000,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Bilaspur,331030,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis), Eye problems (e.g., Glaucoma, Cataracts)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Bhilai,1097000,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Mental health issues (e.g., Stress, Anxiety)","Blood sugar test, Pulmonary function test, Blood pressure check, Mental health assessment"
Korba,23581,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis), Eye problems (e.g., Glaucoma, Cataracts)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Surat,5807000,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Mental health issues (e.g., Stress, Anxiety)","Blood sugar test, Pulmonary function test, Blood pressure check, Mental health assessment"
Rohtak,374292,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis), Eye problems (e.g., Glaucoma, Cataracts)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Hisar,307024,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis), Mental health issues (e.g., Stress, Anxiety)","Lung function test, Blood pressure check, Skin examination, Mental health assessment"
Sonipat,250521,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Eye problems (e.g., Cataracts, Glaucoma)","Blood sugar test, Pulmonary function test, Blood pressure check, Eye examination"
Ambala,146787,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis), Eye problems (e.g., Glaucoma, Cataracts)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Panchkula,680300,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Mental health issues (e.g., Stress, Anxiety)","Blood sugar test, Pulmonary function test, Blood pressure check, Mental health assessment"
Mysore,1014227,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis), Eye problems (e.g., Glaucoma, Cataracts)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Hubli,890000,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis)","Blood sugar test, Pulmonary function test, Blood pressure check, Skin examination"
Mangalore,623841,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis), Eye problems (e.g., Cataracts, Glaucoma)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Belgaum,488157,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Mental health issues (e.g., Stress, Anxiety)","Blood sugar test, Pulmonary function test, Blood pressure check, Mental health assessment"
Gulbarga,483615,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis), Eye problems (e.g., Glaucoma, Cataracts)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Shimoga,654056,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis), Eye problems (e.g., Cataracts, Glaucoma)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Bijapur,327427,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis)","Blood sugar test, Pulmonary function test, Blood pressure check, Skin examination"
Thiruvananthapuram,743691,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis), Eye problems (e.g., Glaucoma, Cataracts)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Kollam,2182000,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Mental health issues (e.g., Stress, Anxiety)","Blood sugar test, Pulmonary function test, Blood pressure check, Mental health assessment"
Satna,373000,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Dewas,387000,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis), Eye problems (e.g., Glaucoma, Cataracts)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Ujjain,515215,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Mental health issues (e.g., Stress, Anxiety)","Blood sugar test, Pulmonary function test, Blood pressure check, Mental health assessment"
Shillong,143229,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Aizawl,283021,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Kohima,99039,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Cuttack,606007,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Diabetes (e.g., Type 2 Diabetes), Eye problems (e.g., Cataracts, Glaucoma)","Blood sugar test, Pulmonary function test, Blood pressure check, Eye examination"
Bathinda,406000,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis)","Blood sugar test, Pulmonary function test, Blood pressure check, Skin examination"
Patiala,329224,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis), Eye problems (e.g., Glaucoma, Cataracts)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Jalandhar,873725,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Mental health issues (e.g., Stress, Anxiety)","Blood sugar test, Pulmonary function test, Blood pressure check, Mental health assessment"
Gangtok,100286,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Madurai,1561129,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Diabetes (e.g., Type 2 Diabetes), Skin diseases (e.g., Psoriasis, Dermatitis)","Blood sugar test, Pulmonary function test, Blood pressure check, Skin examination"
Tiruchirappalli,1245000,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis)","Blood sugar test, Pulmonary function test, Blood pressure check, Skin examination"
Tirunelveli,604000,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Diabetes (e.g., Type 2 Diabetes), Eye problems (e.g., Cataracts, Glaucoma)","Blood sugar test, Pulmonary function test, Blood pressure check, Eye examination"
Vellore,177081,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Diabetes (e.g., Type 2 Diabetes), Mental health issues (e.g., Stress, Anxiety)","Blood sugar test, Pulmonary function test, Blood pressure check, Mental health assessment"
Agartala,522613,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis), Eye problems (e.g., Cataracts, Glaucoma)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Siliguri,1159000,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Diabetes (e.g., Type 2 Diabetes), Mental health issues (e.g., Stress, Anxiety)","Blood sugar test, Pulmonary function test, Blood pressure check, Mental health assessment"
Durgapur,566517,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis), Eye problems (e.g., Glaucoma, Cataracts)","Lung function test, Blood pressure check, Skin examination, Eye examination"
Asansol,563917,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Diabetes (e.g., Type 2 Diabetes), Mental health issues (e.g., Stress, Anxiety)","Blood sugar test, Pulmonary function test, Blood pressure check, Mental health assessment"